Trial_Name;Dataset;Pruned;accuracy;precision;recall;f1;f2;mcc;S;test_accuracy;test_precision;test_recall;test_f1;test_f2;test_mcc;test_S;mcc_normalized;test_mcc_normalized
BERT_Extra_Layer_Trial_41_2025-01-05_04-28-58;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,952784846;0,918256131;0,929227941;0,923709456;0,927012654;0,889557813;0,93589578;0,940910376;0,913452493;0,892463235;0,90283589;0,896583564;0,86051034;0,913419367;0,944778907;0,93025517
BERT_Extra_Layer_Trial_42_2025-01-05_04-33-22;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,947413062;0,906306306;0,924632353;0,915377616;0,920908092;0,877329632;0,929786454;0,942606729;0,907083717;0,90625;0,906666667;0,906416621;0,865229842;0,919515771;0,938664816;0,932614921
BERT_Extra_Layer_Trial_43_2025-01-05_04-37-46;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949109415;0,912727273;0,922794118;0,91773309;0,920763023;0,880922514;0,93061214;0,942889454;0,910946197;0,902573529;0,906740536;0,904235727;0,86560367;0,918518781;0,940461257;0,932801835
BERT_Extra_Layer_Trial_44_2025-01-05_04-42-10;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,94939214;0,9275635;0,90625;0,916782892;0,91043398;0,880552799;0,92535519;0,94628216;0,927619048;0,895220588;0,911131899;0,901517956;0,87293978;0,918993923;0,940276399;0,93646989
BERT_Extra_Layer_Trial_45_2025-01-05_04-50-32;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,950523042;0,908683975;0,932904412;0,920634921;0,927957579;0,884863808;0,935194742;0,944585807;0,908424908;0,911764706;0,910091743;0,911094783;0,870045958;0,923058881;0,942431904;0,935022979
BERT_Extra_Layer_Trial_46_2025-01-05_04-54-55;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,950805768;0,920036765;0,920036765;0,920036765;0,920036765;0,884512061;0,931146398;0,944303082;0,920679887;0,896139706;0,908244061;0,900942524;0,868434067;0,917579779;0,94225603;0,934217034
BERT_Extra_Layer_Trial_47_2025-01-05_05-01-17;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,952784846;0,923643054;0,922794118;0,923218391;0,92296378;0,889130008;0,933764392;0,948261238;0,922502334;0,908088235;0,915238536;0,910934907;0,878065283;0,924983774;0,944565004;0,939032642
BERT_Extra_Layer_Trial_48_2025-01-05_05-05-41;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949109415;0,914990859;0,920036765;0,917506874;0,919023136;0,880719472;0,929691436;0,946847611;0,918994413;0,907169118;0,913043478;0,909509768;0,874810213;0,923457437;0,940359736;0,937405107
BERT_Extra_Layer_Trial_49_2025-01-05_05-10-06;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,951088493;0,911791179;0,931066176;0,921327876;0,927146257;0,885948364;0,935060219;0,944585807;0,9106814;0,909007353;0,909843606;0,90934167;0,869844422;0,92213194;0,942974182;0,934922211
model_extra_Layer_trial_33_2025-01-05_05-14.bin;forschungsprojekt_datensatz.xls;;;;;;;;;0,770100503;0,456876457;0,595744681;0,517150396;0,561604585;0,375319443;0,624632153;;
model_extra_Layer_trial_33_2025-01-05_05-14.bin;annotated_comments_gutefrage_final.csv;;;;;;;;;0,773841751;0,643767997;0,431962462;0,517013545;0,462388465;0,389535376;0,578578077;;
BERT_WithExtraLayer2025-01-05_18-53-56;Dataset_anonymized_annotated_comments_same_annotation_final.csv;;0,753333333;0,620253165;0,875;0,725925926;0,808580858;0,538485064;0,788911695;0,813333333;0,776699029;0,941176471;0,85106383;0,902934537;0,627452738;0,858330453;0,769242532;0,813726369
